Index,Country,CityCode,CityName,Name,Longitude,Latitude,pop1975,pop1980,pop1990,pop2000,pop2010,pop2020,pop2025,pop2030,pop2040,pop2050,gr1975,gr2000,gr2020,gr2025,gr2050,nr1975,nr2000,nr2020,nr2025,nr2050
1391,India,8064,Jaipur,Jaipur,75.7865606,26.91287235,1,1.2,1.7,2.5,3.3,3.9,4.1,4.2,4.4,4.5,180,121,103,110,117,21,15,15,15,16
472,China,10990,Hefei,Hefei,117.2671463,31.84717657,1.2,1.5,2.2,3,3.5,4.9,4.9,4.9,4.7,4.5,134,85,80,87,118,16,17,16,16,15
831,China,9574,Zhengzhou,Zhengzhou,113.6531083,34.76695804,1,1.2,1.6,2.8,4,4.9,4.9,4.8,4.7,4.4,171,100,79,86,119,23,21,15,15,16
273,Burkina Faso,1748,Ouagadougou,Ouagadougou,-1.527222726,12.36166668,0.1,0.2,0.5,0.9,1.8,2.9,3.2,3.5,4,4.4,1957,394,160,152,120,2,1,1,1,1
2024,Mexico,3099,Guadalajara,Guadalajara,-103.3474301,20.65678691,2,2.4,3.1,3.6,4,4.1,4.1,4.2,4.3,4.3,66,67,101,108,121,2,2,2,2,2
2085,Mozambique,116,Maputo,Maputo,32.5554922,-25.89051404,0.5,0.7,1.1,1.5,2,2.9,3.2,3.5,4,4.3,406,222,162,154,122,1,1,1,1,1
2650,Syrian Arab Republic,1601,Aleppo,Aleppo,37.14292902,36.2044832,0.6,0.8,1.2,1.9,3.8,2.4,2.9,3.4,3.9,4.3,297,176,196,168,123,2,2,2,2,2
631,China,11820,Puning,Puning,116.395195,23.2618285,0.8,0.9,1.4,3,3.5,3.9,4,4.1,4.3,4.3,250,89,107,113,124,37,19,20,20,17
2035,Mexico,6218,Monterrey,Monterrey,-100.2880261,25.71411146,1.5,2,2.7,3.3,3.7,3.8,3.9,4,4.2,4.3,95,81,109,116,125,3,3,3,3,3
82,Australia,1634,Melbourne,Melbourne,145.0585801,-37.830934,1.7,1.9,2.2,2.3,2.9,3.5,3.6,3.8,4,4.2,84,135,124,127,126,2,2,2,2,2
2264,Pakistan,8042,Gujranwala,Gujranwala,74.18300249,32.15983934,0.8,0.9,1.3,1.9,2.5,2.9,3.1,3.3,3.8,4.2,243,174,161,159,127,8,7,6,6,6
469,China,9738,Harbin,Harbin,126.6589852,45.74430066,1.7,1.9,2.3,3.5,3.9,4.4,4.4,4.3,4.3,4.1,82,70,92,96,128,8,15,17,17,18
2582,Spain,5068,Barcelona,Barcelona,2.155109556,41.42516492,2.2,2.3,2.5,2.8,3.3,3.9,4,4,4.1,4.1,57,97,106,114,129,2,2,2,2,2
2110,Nepal,1712,Kathmandu,Kathmandu,85.33439011,27.69958566,0.4,0.5,0.9,1.5,2.3,3.1,3.2,3.4,3.8,4.1,461,224,152,150,130,1,1,1,1,1
1731,Indonesia,1806,Medan,Medan,98.65928733,3.595198077,1.7,2.3,3,3.4,3.9,4.2,4.2,4.3,4.2,4.1,85,75,96,102,131,5,4,4,4,4
724,China,12032,Wenzhou,Wenzhou,120.6303645,28.01535384,2,2.2,2.7,3.4,4.1,4.1,4.2,4.2,4.2,4.1,69,76,98,106,132,6,16,18,18,19
